course,year,runs,wins,avg_field,median_winner_bsp
NOTTINGHAM,2026,960,120,8.5,4.9
PERTH,2025,530,67,8.6,4.5
PERTH,2026,516,65,8.8,5.1
PLUMPTON,2025,296,48,6.8,4.6
PLUMPTON,2026,458,63,7.6,3.7
PONTEFRACT,2022,733,81,10.1,6.2
PONTEFRACT,2023,638,70,9.8,6.0
PONTEFRACT,2024,632,74,9.2,5.1
PONTEFRACT,2025,843,107,8.6,4.5
PONTEFRACT,2026,828,87,8.9,4.9
PUNCHESTOWN,2025,1233,101,14.5,4.8
PUNCHESTOWN,2026,1329,107,15.0,6.1
REDCAR,2022,1039,102,11.3,5.2
REDCAR,2023,801,80,10.8,6.0
REDCAR,2024,843,85,10.7,5.0
REDCAR,2025,1198,131,9.9,5.6
REDCAR,2026,742,76,9.7,4.6
RIPON,2022,618,75,8.9,5.2
RIPON,2023,646,79,9.5,4.6
RIPON,2024,669,73,9.8,6.2
RIPON,2025,855,106,9.0,4.9
RIPON,2026,780,86,9.4,5.8
ROSCOMMON,2025,870,74,12.9,6.8
ROSCOMMON,2026,552,45,13.2,6.8
ROYAL ASCOT,2026,634,35,21.0,7.5
SALISBURY,2022,521,65,9.0,4.9
SALISBURY,2023,612,74,9.0,6.5
SALISBURY,2024,541,64,9.2,5.4
SALISBURY,2025,700,99,8.1,4.4
SALISBURY,2026,583,78,8.4,4.2
SANDOWN,2022,444,55,9.0,5.1
SANDOWN,2023,492,56,9.4,6.7
SANDOWN,2024,501,59,9.2,5.5
SANDOWN,2025,838,111,8.3,4.5
SANDOWN,2026,987,97,9.7,5.3
SEDGEFIELD,2025,422,64,7.4,4.1
SEDGEFIELD,2026,280,42,7.4,4.8
SLIGO,2025,645,63,11.3,5.8
SLIGO,2026,619,50,12.8,7.6
SOUTHWELL,2022,2726,273,10.6,5.7
SOUTHWELL,2023,2653,266,10.6,6.3
SOUTHWELL,2024,3463,360,10.2,5.7
SOUTHWELL,2025,4789,524,9.9,6.0
SOUTHWELL,2026,3564,401,9.5,5.1
STRATFORD,2025,608,87,8.0,3.5
STRATFORD,2026,528,79,7.7,4.2
TAUNTON,2025,200,21,10.4,4.8
TAUNTON,2026,494,60,8.9,3.8
THIRSK,2022,1006,92,12.0,6.6
THIRSK,2023,1009,99,11.0,5.9
THIRSK,2024,1051,102,11.3,6.5
THIRSK,2025,1035,109,10.4,5.6
THIRSK,2026,925,91,11.3,7.0
THURLES,2025,541,45,13.3,5.5
THURLES,2026,389,35,12.7,5.6
TIPPERARY,2025,797,72,12.4,5.3
TRAMORE,2025,582,63,10.1,5.2
TRAMORE,2026,739,71,11.3,5.3
UTTOXETER,2025,1177,141,9.5,4.6
UTTOXETER,2026,804,93,9.4,5.2
WARWICK,2025,477,71,7.8,4.3
WARWICK,2026,555,75,8.2,4.4
WETHERBY,2022,146,16,10.5,5.3
WETHERBY,2023,198,22,9.4,5.5
WETHERBY,2024,158,16,10.6,4.8
WETHERBY,2025,577,73,9.0,4.2
WETHERBY,2026,431,50,9.7,5.2
WEXFORD,2025,835,75,12.1,5.9
WEXFORD,2026,870,81,11.7,7.2
WINCANTON,2025,278,34,9.4,4.3
WINCANTON,2026,485,59,9.7,4.8
WINDSOR,2022,1125,122,10.2,4.7
WINDSOR,2023,1113,121,10.0,6.0
WINDSOR,2024,1105,116,10.3,5.1
WINDSOR,2025,1553,175,9.8,5.4
WINDSOR,2026,1384,154,9.9,4.8
WOLVERHAMPTON,2022,2933,321,9.6,5.3
WOLVERHAMPTON,2023,3138,333,9.8,5.6
WOLVERHAMPTON,2024,2996,330,9.5,5.9
WOLVERHAMPTON,2025,4674,523,9.5,5.3
WOLVERHAMPTON,2026,3732,429,9.0,4.9
WORCESTER,2025,1169,132,9.6,5.8
WORCESTER,2026,675,80,9.1,5.2
YARMOUTH,2022,946,121,8.9,4.5
YARMOUTH,2023,923,108,9.2,6.1
YARMOUTH,2024,1048,118,9.6,5.4
YARMOUTH,2025,1279,157,8.9,5.3
YARMOUTH,2026,926,122,7.8,4.6
YORK,2022,1051,81,14.6,7.3
YORK,2023,1028,82,14.4,8.9
YORK,2024,1054,76,15.3,8.4
YORK,2025,1619,129,14.7,7.6
YORK,2026,1477,104,15.2,6.2
